n, genA_recur, genA_iter
603, 560975, 372984
604, 564205, 373943
605, 563061, 374905
606, 567358, 376592
607, 565695, 377842
608, 568209, 396792
609, 621462, 381920
610, 579585, 385575
611, 588945, 383558
612, 584090, 402686
613, 732893, 413344
614, 714204, 392467
615, 643930, 398108
616, 584553, 414105
617, 585830, 399651
618, 603975, 395937
619, 600533, 395256
620, 598652, 399143
621, 608815, 396463
622, 597598, 400239
623, 599511, 398742
624, 585314, 400456
625, 585578, 403202
626, 584707, 402254
627, 586925, 403156
628, 586623, 406906
629, 588592, 406070
630, 589534, 420231
631, 641586, 409176
632, 591926, 409929
633, 591689, 411140
634, 594143, 412211
635, 599796, 413800
636, 597976, 415791
637, 598727, 416821
638, 598419, 446114
639, 623884, 418619
640, 579625, 423154
641, 580609, 421455
642, 581010, 423179
643, 582969, 424318
644, 584068, 425500
645, 584670, 426670
646, 585835, 444733
647, 598340, 429200
648, 589243, 430670
649, 590710, 431940
650, 590639, 433230
651, 595628, 434710
652, 594833, 435988
653, 594804, 437301
654, 610104, 462233
655, 600343, 440405
656, 599382, 441195
657, 598055, 442787
658, 601049, 444550
659, 602084, 445549
660, 603529, 447903
661, 605247, 447892
662, 720262, 624705
663, 613779, 450891
664, 609216, 452625
665, 610137, 453877
666, 645750, 476714
667, 617601, 456676
668, 612775, 458370
669, 626605, 517539
670, 620204, 478546
671, 624488, 461938
672, 614172, 463132
673, 682547, 488686
674, 623219, 466011
675, 617491, 467365
676, 621533, 485820
677, 658640, 469582
678, 623225, 471866
679, 623586, 472813
680, 623445, 474186
681, 626152, 475421
682, 677362, 479857
683, 631326, 478470
684, 670073, 480277
685, 637923, 481077
686, 632555, 482755
687, 635515, 483798
688, 633664, 485015
689, 633854, 486377
690, 636053, 487944
691, 639033, 531522
692, 645299, 490784
693, 643190, 491892
694, 642170, 493952
695, 644148, 495003
696, 649105, 497470
697, 662304, 510232
698, 655191, 500028
699, 695195, 562864
700, 672950, 510911
701, 658213, 503986
702, 653004, 504825
703, 651751, 507346
704, 673645, 509945
705, 651429, 540226
706, 664348, 510704
707, 659048, 534879
708, 653643, 514049
709, 648280, 515644
710, 652243, 517507
711, 668490, 518540
712, 657337, 540425
713, 668107, 521240
714, 655824, 522158
715, 655321, 524344
716, 658407, 525201
717, 660608, 526800
718, 660074, 528278
719, 674363, 549553
720, 665854, 531582
721, 660971, 535047
722, 662238, 534109
723, 664633, 554627
724, 673499, 537652
725, 667484, 538325
726, 694899, 540518
727, 672153, 587126
728, 674362, 543473
729, 672715, 545857
730, 673367, 546076
731, 681035, 548018
732, 681803, 562679
733, 714872, 550549
734, 678142, 551774
735, 678765, 555430
736, 674580, 555028
737, 675923, 556157
738, 681491, 559661
739, 696593, 580259
740, 699599, 560941
741, 683397, 563077
742, 685811, 564163
743, 686530, 565970
744, 685475, 567309
745, 687475, 587210
746, 718042, 570336
747, 693214, 571977
748, 692642, 573388
749, 691984, 574281
750, 693663, 575995
751, 699496, 579016
752, 794779, 601611
753, 703156, 585659
754, 698431, 582435
755, 700232, 584476
756, 700943, 585203
757, 706187, 587052
758, 704242, 603191
759, 722599, 592601
760, 707348, 591551
761, 707050, 593127
762, 709375, 595068
763, 708692, 597291
764, 714689, 599232
765, 731303, 600043
766, 713084, 600231
767, 713083, 602062
768, 714453, 604627
769, 717614, 605656
770, 717977, 607780
771, 759902, 620510
772, 727071, 614491
773, 729194, 612571
774, 722978, 613625
775, 730685, 616335
776, 733814, 616678
777, 743176, 643728
778, 735802, 620295
779, 728388, 621392
780, 730057, 623270
781, 732353, 624791
782, 733850, 626283
783, 751456, 629533
784, 736383, 631722
785, 737472, 630500
786, 737494, 632447
787, 739569, 633927
788, 741708, 636125
789, 855490, 637304
790, 746888, 639275
791, 748623, 640692
792, 747619, 642373
793, 750395, 643826
794, 750351, 644571
795, 828534, 647111
796, 787429, 649240
797, 752811, 650351
798, 760845, 652050
799, 756741, 653075
800, 753352, 765963
801, 757034, 657098
802, 756216, 658479
803, 762349, 660082
804, 768790, 661981
805, 765669, 666078
806, 770322, 671063
807, 778607, 666741
808, 767934, 668536
809, 771508, 672323
810, 808980, 672800
811, 773594, 675453
812, 787196, 678159
813, 785163, 676856
814, 779919, 683394
815, 899002, 703476
816, 782291, 706688
817, 777774, 698495
818, 789176, 686511
819, 776804, 686054
820, 780039, 688359
821, 779717, 689650
822, 783835, 691450
823, 923670, 693925
824, 791740, 698396
825, 804148, 704291
826, 804549, 698674
827, 788605, 699881
828, 809487, 704540
829, 807816, 706245
830, 812066, 707870
831, 814604, 714411
832, 827934, 708934
833, 786833, 714230
834, 878974, 737026
835, 843520, 714370
836, 790352, 720085
837, 813554, 716548
838, 796104, 721277
839, 845544, 752869
840, 820841, 723623
841, 809142, 758310
842, 810110, 748317
843, 804984, 727477
844, 803089, 756475
845, 823997, 733306
846, 818698, 734877
847, 911998, 1255681
848, 837694, 2111767
849, 1152664, 2181313
850, 870899, 793158
851, 982226, 843676
852, 1604160, 1922238
853, 1336563, 926851
854, 979764, 881055
855, 1073713, 2029263
856, 1063125, 1162697
857, 1294413, 1506515
858, 1116692, 952792
859, 1009624, 915771
860, 1017960, 928637
861, 1152107, 950461
862, 1162269, 1292730
863, 1585973, 1298670
864, 1103177, 957116
865, 1053429, 1012644
866, 1110372, 1034328
867, 1046334, 962190
868, 1033674, 957878
869, 999963, 910945
870, 1072622, 912794
871, 1112777, 930242
872, 999539, 920602
873, 1008878, 1020552
874, 1264338, 893664
875, 969410, 956881
876, 1011476, 935230
877, 989938, 928730
878, 1022265, 936655
879, 978688, 925713
880, 968121, 1001430
881, 1549403, 965653
882, 1257159, 1119253
883, 1016538, 1143722
884, 1015997, 941867
885, 1010893, 964219
886, 1129658, 1082709
